Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
2,21166,0,4,0,2,1,0,34697,300,254,0,9108,9,3,15.09247956811372,1,2,2,1
4,12157,2,1,4,1,1,4,9765,87,669,1,11641,7,3,13.068112448408703,1,0,2,1
2,24159,2,5,4,0,1,4,11433,315,555,2,19808,1,2,16.297703988905937,1,1,2,1
5,3961,0,4,5,1,0,4,32369,196,19,0,3875,6,0,19.266159959930093,2,1,2,1
3,3083,1,0,5,2,1,3,31429,151,251,2,7598,5,1,18.334594520907626,0,1,2,1
4,1775,0,0,7,2,0,3,24053,313,693,0,14291,2,2,15.028396745690603,1,2,2,1
4,13889,0,1,9,0,1,4,14969,185,439,2,15183,5,2,10.352840064571804,0,2,2,1
0,11126,2,1,8,0,0,3,15757,289,661,0,6454,4,2,12.780299944629732,0,0,2,1
5,6290,0,4,1,1,1,0,13606,68,586,2,16383,0,2,17.208919730205757,2,0,2,1
3,15299,1,1,7,1,0,0,1381,210,633,2,6034,6,0,13.52863606367903,1,1,1,0
2,4962,0,3,7,0,1,1,42170,214,575,2,12841,1,0,12.749733955073156,2,2,2,1
1,20412,2,1,9,1,1,2,26640,165,15,2,6726,3,1,19.49306721488681,0,2,0,1
3,18420,0,3,9,0,1,1,6966,119,367,0,4387,9,2,19.54663499053462,1,1,1,1
5,4481,2,2,1,2,0,2,2112,167,11,2,21565,0,2,11.880976420752042,2,1,2,1
4,21865,1,0,6,1,1,4,33027,269,197,0,20661,8,3,15.365558228718497,0,0,1,1
3,1606,0,0,7,1,0,1,37962,38,88,0,1613,6,1,13.116605075575242,0,0,1,0
1,6160,2,4,9,2,1,4,11728,293,465,1,11012,4,0,15.978133977317867,2,2,2,1
2,20348,0,2,1,2,1,1,35653,203,689,0,13077,5,3,12.117901461912409,0,1,1,0
3,5870,1,3,0,1,1,2,21959,140,357,1,16357,0,3,13.98283661323005,2,0,1,0
0,23756,1,4,5,1,1,0,11159,238,448,0,11859,8,3,15.66001145090462,2,1,0,1
4,1447,1,1,4,1,0,4,3930,66,232,1,12238,4,0,13.448187875485736,1,2,2,1
1,5362,2,2,7,1,0,4,14778,267,642,1,4966,2,1,14.100366906444648,0,1,2,1
2,10578,2,1,3,0,1,2,10008,225,403,1,13239,4,2,18.19760035884841,0,1,2,1
0,10865,1,2,7,1,1,3,34027,67,410,1,12179,6,0,12.588810884708437,0,1,1,0
4,13471,2,2,4,2,0,1,21856,105,161,1,5615,7,2,15.257505536258542,0,1,0,1
1,23771,0,3,3,0,0,0,6423,179,308,1,21366,7,0,12.034397956094772,1,0,1,1
0,27145,0,2,3,1,0,3,36296,67,435,1,21108,6,3,17.088570720599655,0,0,1,0
4,20047,0,0,8,2,1,1,35695,232,688,1,16320,3,0,18.75021248586024,1,0,2,1
2,3151,2,1,0,0,1,3,11299,197,402,2,17831,9,3,10.9138014147998,0,1,0,1
0,30342,2,4,1,0,1,1,34592,269,444,1,15330,9,0,14.21772739346492,0,0,1,1
0,5865,1,5,4,1,0,0,23259,255,518,1,15395,9,3,12.96154592334333,0,2,1,1
3,19073,2,2,9,1,1,3,5483,288,225,2,9396,3,2,15.119115448803548,0,2,1,1
0,29486,1,5,0,1,1,2,9330,139,213,2,776,5,1,19.45552464100787,0,1,0,1
0,26475,1,3,9,0,1,0,18826,335,419,0,12760,2,3,18.264772855524008,1,2,1,1
3,14976,0,0,2,2,1,4,1088,330,336,2,12454,1,1,11.864202287629706,2,0,0,0
4,22309,1,2,0,2,0,1,17178,9,397,1,14035,9,2,15.846151939453849,2,2,0,1
4,16208,1,0,7,2,1,0,26695,275,494,0,3837,9,3,11.63570675007026,0,2,1,1
0,10690,1,5,0,0,0,1,36419,81,49,0,6733,7,1,12.784749846649984,1,2,2,1
3,19443,2,3,8,2,1,2,2562,261,170,0,9466,7,2,17.333426421663226,0,1,0,1
1,13297,1,0,2,2,1,4,10934,188,296,0,5662,3,1,19.262909919716307,2,0,0,0
3,21398,2,5,4,2,1,2,38533,49,94,2,15125,3,1,17.496695480232752,1,2,1,1
4,16951,0,5,7,0,0,2,3403,34,505,0,16796,0,0,19.55579179634824,2,2,1,1
1,31253,1,4,1,2,1,0,37531,27,249,1,15128,3,2,17.704087616093787,1,0,2,1
3,23580,2,4,6,2,1,1,23334,195,224,2,16140,8,1,13.195157208149034,1,0,2,1
5,20922,2,0,3,2,1,0,17288,27,536,2,15455,8,0,11.273093138940691,1,2,1,1
1,325,1,5,7,0,0,1,2078,116,123,1,10592,5,1,14.338320376219064,2,2,1,1
3,12747,2,0,1,0,0,4,4749,243,297,2,751,3,0,12.367436618131688,1,2,1,1
2,24636,2,1,8,0,0,0,15810,307,330,2,6333,4,3,15.19369215176277,0,0,2,1
0,17686,1,0,7,2,0,3,30842,333,34,2,7729,6,1,16.468945447456655,1,0,1,0
0,3267,1,2,2,0,1,2,2751,310,506,2,7677,5,3,17.822068320973422,0,0,2,1
5,7616,0,1,5,2,1,3,182,272,229,1,10110,5,2,17.119245433839694,0,2,2,1
0,26070,1,3,3,1,1,0,18866,112,343,2,11587,7,1,10.516286127715452,2,0,1,0
3,24608,2,2,0,1,1,2,9952,98,621,0,15322,9,0,10.098634006728307,0,0,1,1
2,29140,2,0,5,0,1,0,5081,5,658,2,18517,8,3,10.944671623720629,1,2,1,1
3,27209,0,2,1,0,1,2,6454,94,563,2,12627,8,2,10.83300951721779,1,0,2,1
1,16434,2,5,3,2,0,2,14710,63,691,0,11403,8,1,14.53633256889737,1,0,2,1
0,14006,0,3,0,2,0,2,124,5,598,0,13653,3,0,16.628089276482584,1,1,0,1
4,31045,2,4,9,1,0,0,18747,93,639,0,5286,4,3,18.37114081218681,0,2,1,1
5,18067,2,4,9,0,1,3,16615,299,407,2,4438,8,2,10.8434823021443,0,2,2,1
0,27973,1,4,2,0,0,3,13320,178,452,2,4157,8,2,17.281405099715144,0,1,0,1
1,15181,0,2,1,1,1,1,26433,190,483,0,5919,0,1,18.657364014935744,0,1,0,0
4,24178,1,2,5,2,0,1,41965,203,671,0,6676,3,0,11.94093599697285,1,2,0,1
0,19511,1,5,9,1,0,3,18037,227,18,0,14128,1,1,10.25066178778306,0,1,2,1
0,6464,0,0,7,0,0,1,25132,330,242,2,12917,1,1,19.2715974430534,2,2,2,1
1,8677,2,4,1,2,0,2,37733,150,443,2,2494,7,3,13.511395818997094,0,0,2,1
0,1284,2,3,2,0,0,3,2954,88,91,1,16117,7,2,12.948426295931302,0,2,2,1
2,6286,0,3,5,0,0,3,29788,146,397,1,20428,8,3,19.87991399921696,2,1,2,1
5,29279,2,0,1,1,0,2,28174,316,380,1,2754,3,1,10.203807294744324,1,0,1,0
3,19398,2,2,8,0,1,2,13227,196,303,2,2257,5,1,16.48258966242942,0,2,1,1
5,13678,1,4,7,1,1,0,3359,188,260,0,5487,4,3,14.325877992329644,2,1,0,1
2,30751,1,0,5,2,1,0,9336,303,466,2,6808,4,2,18.14839934076628,1,0,1,0
1,25756,1,0,3,0,1,3,17957,35,597,2,3716,3,0,17.565868036381325,1,0,1,0
5,11461,1,1,1,0,1,3,22333,230,566,2,10118,2,3,12.761991515396108,1,1,0,0
2,26146,2,0,5,2,0,2,6158,251,13,0,13499,2,3,10.437626172091704,1,0,2,1
2,26310,2,0,8,1,0,0,34338,261,323,1,14111,1,2,15.11671257783464,1,0,1,0
2,15681,1,4,8,0,1,3,28185,25,107,0,12126,6,3,10.79391174375905,0,1,0,1
2,22099,0,2,0,1,0,2,11373,303,325,2,14792,0,0,14.169540817662044,2,2,1,1
2,4906,1,0,0,0,1,2,20419,322,160,1,11100,9,3,16.202022631261517,0,2,1,1
4,16712,1,1,4,2,0,0,27278,44,305,1,11709,0,3,16.76571544289729,2,1,0,0
2,7285,0,1,8,1,1,1,3705,318,232,2,10209,7,0,10.911506814944785,2,0,2,1
4,11215,1,5,7,2,1,1,15160,139,424,2,16968,8,2,14.6010313632609,0,1,2,1
2,25359,2,1,0,1,1,0,36567,105,107,1,14567,9,2,17.171690601164173,2,2,2,1
0,1438,2,4,5,1,1,2,35314,128,374,2,8742,1,2,14.086833566103545,0,0,2,1
3,2507,2,2,7,1,1,0,25176,159,624,1,9058,2,3,15.435287235497707,2,2,0,1
0,13318,0,4,0,1,1,2,23958,44,583,1,14939,9,1,12.359591361302394,0,2,0,1
2,22155,1,0,2,1,1,0,27306,301,535,0,7471,7,1,19.76051383212662,2,1,0,0
4,22091,1,2,3,1,0,4,2315,255,651,1,5548,2,0,10.572693152599744,2,2,2,1
2,18249,0,5,7,2,1,3,2337,126,538,2,3996,6,0,11.565201134228472,0,2,1,1
1,12854,1,5,7,1,0,2,24334,184,30,2,18554,8,3,16.557472370793715,0,1,0,1
3,7963,0,4,8,0,1,4,2317,99,38,0,2264,9,2,14.243744605176836,0,0,0,1
1,4044,1,1,9,1,0,2,8328,45,229,2,13898,6,3,14.287388658386856,2,1,0,0
3,14513,1,0,1,2,1,4,37741,221,616,2,8998,4,2,19.1247400380316,0,0,1,0
3,16858,0,1,8,2,1,0,30883,92,468,1,6251,9,0,13.423870485777162,1,2,1,1
1,14828,1,1,1,2,0,0,32558,174,181,1,11094,4,1,14.662627671222143,1,2,1,1
4,4963,2,2,6,0,0,2,29464,54,346,0,2139,7,0,16.039861363168406,1,0,0,1
1,26585,1,5,4,2,0,2,34788,309,335,0,6375,7,0,19.875971368625542,1,0,0,1
1,18098,1,0,8,0,1,2,21872,272,346,0,14237,6,0,16.412090305363208,1,2,1,1
4,16177,2,1,2,2,1,0,38908,66,424,1,14617,4,2,15.723939275308604,1,1,2,1
0,31057,0,2,2,1,1,0,15007,271,229,2,11875,7,1,11.57043976324402,1,1,1,0
2,25475,0,1,2,1,0,0,20558,287,105,2,13300,8,2,12.764208171233916,2,1,2,1
0,7669,2,3,4,0,1,1,31927,249,167,1,8859,2,2,16.27997614142989,1,2,2,1
5,3260,1,1,6,2,1,0,24888,55,46,1,1686,4,1,17.96798083304781,0,1,1,0
0,17016,0,5,6,2,0,3,29222,201,625,2,3316,5,0,15.87460990287038,2,2,0,1
0,29597,2,0,6,2,0,2,27777,109,26,1,18495,5,0,11.11241867408457,2,2,1,1
0,21565,0,2,6,2,0,1,22398,315,690,0,1207,2,0,15.237427204625632,0,2,0,1
4,31459,0,2,3,0,0,1,34410,249,46,2,3759,9,2,19.90166184376117,0,0,0,1
5,1261,2,0,6,1,0,0,15975,96,473,0,2141,7,3,15.18649837858073,0,2,0,1
1,26601,2,3,5,1,0,3,1855,126,688,1,18660,3,2,14.086825080710904,0,2,1,1
1,28122,2,3,0,0,0,3,30945,275,118,1,10487,7,3,17.850356697425553,2,1,1,1
0,11169,2,2,7,1,0,3,12537,235,94,0,12768,7,3,10.537246923949176,2,1,1,1
5,28306,1,5,3,1,0,1,3462,99,168,0,5310,8,3,16.064290403948284,0,2,1,1
4,26740,2,0,5,2,0,4,40134,189,188,2,13126,2,2,11.865959239009223,0,0,0,0
1,28478,0,5,9,2,0,3,27507,10,523,1,14109,1,3,10.960426025167887,0,1,2,1
3,14849,0,0,1,2,1,2,6180,230,562,2,3153,4,1,15.915554336928464,1,1,1,0
0,11315,0,1,5,1,1,2,20203,310,145,0,19641,4,1,18.639923412480076,1,2,0,1
1,10197,0,5,3,2,1,1,33653,335,652,2,1343,1,0,13.669477926864406,0,2,0,1
0,20975,2,4,5,2,1,2,30233,198,356,1,9092,4,0,10.761527582406774,0,2,1,1
0,14031,0,1,4,1,0,1,38435,40,362,0,16485,3,3,15.345047093225215,1,1,2,1
4,6081,0,1,2,0,0,0,25825,127,166,2,3573,8,2,10.43117918039763,2,1,1,1
